,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
7040,54.0,109,13.5,83.0,partly cloudy,997.96,10,Spring,2.0,mountain,Rainy
7041,2.0,78,13.0,35.0,overcast,811.67,0,Autumn,8.5,inland,Rainy
7043,31.0,49,5.5,8.0,clear,1017.07,11,Autumn,6.0,coastal,Sunny
7047,24.0,85,18.5,68.0,partly cloudy,1003.73,1,Autumn,2.0,mountain,Rainy
7050,7.0,95,13.0,84.0,overcast,1003.23,4,Spring,1.5,mountain,Rainy
7051,19.0,78,11.5,72.0,partly cloudy,995.28,11,Spring,3.5,inland,Rainy
7052,25.0,52,9.5,9.0,partly cloudy,1015.03,6,Spring,7.5,coastal,Sunny
7053,58.0,102,12.5,106.0,clear,1011.68,9,Winter,2.5,inland,Sunny
7054,14.0,80,9.0,82.0,overcast,996.79,1,Summer,2.0,mountain,Rainy
7056,20.0,81,7.0,93.0,overcast,998.77,3,Summer,4.0,coastal,Rainy
7057,37.0,60,0.5,14.0,clear,1017.11,8,Winter,7.0,mountain,Sunny
7059,15.0,76,37.5,73.0,overcast,1009.35,11,Autumn,2.5,inland,Rainy
7062,17.0,86,27.5,94.0,overcast,1019.99,14,Spring,6.5,inland,Rainy
7064,26.0,53,1.0,12.0,clear,1020.8,6,Winter,9.5,inland,Sunny
7065,27.0,62,13.0,97.0,partly cloudy,996.09,2,Summer,1.5,coastal,Rainy
7071,38.0,51,0.5,1.0,clear,1016.26,11,Summer,5.0,inland,Sunny
7072,33.0,95,6.5,75.0,partly cloudy,1007.64,2,Spring,4.5,mountain,Rainy
7073,35.0,50,8.5,11.0,clear,1016.88,10,Summer,10.0,coastal,Sunny
7076,50.0,99,9.0,77.0,partly cloudy,1015.87,9,Autumn,4.5,inland,Sunny
7077,23.0,46,3.5,14.0,partly cloudy,1014.64,9,Winter,9.0,inland,Sunny
7078,31.0,92,11.0,96.0,partly cloudy,994.13,1,Autumn,4.0,mountain,Rainy
7079,40.0,61,6.5,19.0,clear,1017.34,11,Winter,9.5,coastal,Sunny
7080,24.0,72,12.5,76.0,overcast,1011.05,0,Autumn,2.0,coastal,Rainy
7082,28.0,60,12.0,64.0,partly cloudy,991.1,2,Winter,1.5,mountain,Rainy
7087,22.0,27,3.0,13.0,clear,1028.45,9,Spring,6.5,mountain,Sunny
7088,11.0,65,7.5,92.0,partly cloudy,1000.24,0,Autumn,4.0,inland,Rainy
7089,42.0,28,4.0,16.0,partly cloudy,1019.22,6,Summer,6.5,inland,Sunny
7090,37.0,60,10.5,57.0,cloudy,1037.02,7,Summer,16.5,mountain,Rainy
7092,39.0,23,2.0,10.0,clear,1014.5,8,Winter,6.5,coastal,Sunny
7093,34.0,77,14.0,77.0,overcast,992.52,1,Autumn,4.0,coastal,Rainy
7094,20.0,53,5.0,4.0,partly cloudy,1017.72,8,Spring,6.5,coastal,Sunny
7095,31.0,55,7.0,19.0,clear,1010.79,8,Summer,10.0,mountain,Sunny
7100,34.0,65,9.5,76.0,overcast,1019.16,1,Autumn,5.0,inland,Rainy
7104,23.0,89,15.5,100.0,clear,1021.18,13,Winter,3.5,coastal,Sunny
7109,18.0,70,16.5,63.0,overcast,1018.35,3,Winter,3.5,inland,Rainy
7111,36.0,23,4.5,0.0,clear,1016.42,6,Spring,9.0,mountain,Sunny
7112,32.0,65,2.5,7.0,partly cloudy,1018.37,8,Summer,6.0,coastal,Sunny
7113,38.0,41,10.0,5.0,clear,1025.62,9,Winter,9.5,mountain,Sunny
7114,11.0,68,13.5,55.0,overcast,1012.76,0,Winter,4.0,mountain,Rainy
7118,41.0,59,1.0,5.0,partly cloudy,1024.61,5,Winter,9.5,inland,Sunny
7119,23.0,31,8.5,88.0,partly cloudy,1138.72,2,Spring,6.5,mountain,Rainy
7120,32.0,85,13.0,85.0,partly cloudy,1007.23,1,Summer,4.5,coastal,Rainy
7121,42.0,59,2.0,12.0,partly cloudy,1024.56,8,Summer,8.0,mountain,Sunny
7122,32.0,91,5.5,100.0,partly cloudy,1024.13,14,Winter,7.0,mountain,Sunny
7127,32.0,94,28.0,82.0,partly cloudy,994.93,13,Winter,4.5,mountain,Rainy
7129,33.0,60,4.5,14.0,clear,1026.77,7,Summer,9.5,mountain,Sunny
7130,34.0,92,15.5,67.0,partly cloudy,990.04,1,Summer,4.0,inland,Rainy
7131,33.0,77,6.5,96.0,partly cloudy,1001.42,2,Summer,4.5,mountain,Rainy
7133,32.0,33,6.5,5.0,clear,1011.0,11,Spring,7.5,mountain,Sunny
7135,25.0,60,7.0,93.0,overcast,1012.08,2,Autumn,3.0,coastal,Rainy
7136,34.0,61,14.0,64.0,overcast,992.2,0,Summer,4.0,inland,Rainy
7137,20.0,70,9.5,56.0,partly cloudy,1004.39,1,Winter,4.0,coastal,Rainy
7143,18.0,63,6.0,52.0,overcast,1004.0,2,Autumn,3.0,mountain,Rainy
7144,37.0,27,3.0,5.0,clear,1014.53,5,Winter,8.0,coastal,Sunny
7145,26.0,78,17.0,67.0,overcast,1002.58,3,Summer,4.0,inland,Rainy
7147,36.0,58,0.5,13.0,clear,1029.78,7,Spring,7.0,coastal,Sunny
7149,11.0,71,14.0,55.0,overcast,1013.49,1,Spring,2.5,mountain,Rainy
7152,22.0,62,6.5,12.0,clear,1014.78,7,Winter,9.5,coastal,Sunny
7153,12.0,89,12.0,56.0,overcast,993.17,0,Winter,5.0,inland,Rainy
7156,42.0,60,0.5,0.0,clear,1029.12,7,Winter,6.5,coastal,Sunny
7157,11.0,96,7.5,90.0,partly cloudy,998.15,3,Summer,1.5,coastal,Rainy
7158,47.0,82,25.5,96.0,overcast,1006.85,5,Summer,1.0,coastal,Rainy
7160,35.0,43,4.5,14.0,partly cloudy,1022.66,7,Summer,8.5,mountain,Sunny
7163,42.0,57,5.5,1.0,partly cloudy,1014.28,11,Spring,7.5,mountain,Sunny
7165,43.0,71,27.0,75.0,overcast,1002.47,7,Winter,1.0,coastal,Rainy
7166,39.0,27,2.0,17.0,partly cloudy,1028.66,7,Winter,5.5,inland,Sunny
7167,12.0,96,17.0,82.0,overcast,996.6,1,Winter,3.0,coastal,Rainy
7169,31.0,67,5.5,54.0,overcast,993.57,3,Winter,4.5,coastal,Rainy
7175,19.0,82,9.0,69.0,overcast,1001.62,2,Summer,2.0,mountain,Rainy
7177,19.0,88,19.0,65.0,overcast,1010.98,0,Summer,4.5,inland,Rainy
7178,27.0,34,4.0,19.0,clear,1022.36,11,Autumn,7.0,mountain,Sunny
7180,30.0,96,20.5,81.0,overcast,1003.76,0,Autumn,2.5,coastal,Rainy
7182,34.0,20,6.5,15.0,partly cloudy,1027.48,7,Autumn,9.5,coastal,Sunny
7183,14.0,84,11.5,94.0,overcast,1006.88,2,Spring,4.0,coastal,Rainy
7185,50.0,77,9.0,76.0,clear,1019.37,11,Winter,1.0,coastal,Sunny
7188,38.0,20,8.0,0.0,clear,1014.75,8,Autumn,9.5,inland,Sunny
7189,-6.0,23,11.0,40.0,partly cloudy,1081.12,11,Autumn,14.5,inland,Sunny
7190,30.0,65,16.5,73.0,overcast,994.36,1,Winter,3.0,inland,Rainy
7192,52.0,78,20.5,104.0,clear,1015.76,12,Winter,8.0,coastal,Sunny
7194,44.0,45,2.5,9.0,clear,1020.44,7,Autumn,5.5,mountain,Sunny
7195,43.0,31,5.0,0.0,clear,1011.31,5,Spring,7.5,inland,Sunny
7197,25.0,81,12.0,57.0,partly cloudy,1012.75,0,Spring,3.0,mountain,Rainy
7199,24.0,88,11.0,107.0,overcast,1004.99,10,Summer,5.5,inland,Rainy
7202,11.0,63,12.0,52.0,overcast,998.21,1,Autumn,3.5,coastal,Rainy
7203,23.0,43,6.5,4.0,partly cloudy,1022.54,7,Autumn,9.5,coastal,Sunny
7204,8.0,74,0.5,59.0,partly cloudy,936.62,5,Autumn,11.5,mountain,Rainy
7206,32.0,74,10.0,79.0,clear,1010.0,10,Spring,3.0,mountain,Sunny
7207,71.0,91,5.5,80.0,clear,1024.69,7,Summer,4.0,coastal,Sunny
7208,34.0,60,7.5,18.0,partly cloudy,1025.96,11,Summer,7.5,mountain,Sunny
7211,34.0,28,4.5,13.0,clear,1015.29,11,Winter,5.0,coastal,Sunny
7212,29.0,33,5.5,5.0,clear,1011.21,5,Autumn,5.5,mountain,Sunny
7213,11.0,93,9.0,70.0,partly cloudy,995.55,3,Winter,3.0,mountain,Rainy
7214,33.0,44,1.5,11.0,clear,1011.95,7,Summer,8.5,inland,Sunny
7218,26.0,37,5.0,15.0,partly cloudy,1028.45,7,Spring,6.5,coastal,Sunny
7219,44.0,36,2.0,14.0,partly cloudy,1028.47,8,Spring,9.5,mountain,Sunny
7223,24.0,21,0.5,6.0,clear,1024.3,7,Spring,7.0,coastal,Sunny
7224,40.0,45,9.5,16.0,clear,1029.31,11,Spring,6.0,inland,Sunny
7227,61.0,89,0.5,88.0,clear,1020.29,9,Spring,11.5,mountain,Sunny
7229,24.0,61,5.5,3.0,clear,1018.27,9,Spring,5.5,inland,Sunny
7231,24.0,39,5.0,6.0,clear,1026.01,11,Spring,9.5,mountain,Sunny
7233,91.0,100,3.0,91.0,clear,1017.22,2,Summer,7.5,mountain,Sunny
7234,25.0,78,13.0,50.0,overcast,1019.76,0,Winter,2.5,mountain,Rainy
7235,43.0,73,18.0,79.0,clear,1023.35,11,Summer,8.5,coastal,Sunny
7237,18.0,88,18.5,89.0,overcast,1017.99,2,Autumn,1.5,coastal,Rainy
7240,24.0,39,7.0,5.0,clear,1025.54,6,Spring,6.5,inland,Sunny
7241,18.0,75,13.5,106.0,overcast,1006.87,14,Winter,5.0,coastal,Rainy
7243,32.0,65,8.5,18.0,clear,1022.0,9,Winter,6.0,mountain,Sunny
7244,30.0,75,7.0,76.0,overcast,1006.07,3,Autumn,3.5,coastal,Rainy
7246,30.0,61,1.5,11.0,clear,1020.86,7,Autumn,7.0,mountain,Sunny
7247,48.0,37,13.5,92.0,partly cloudy,947.17,4,Autumn,17.0,mountain,Rainy
7248,40.0,22,5.0,18.0,partly cloudy,1029.8,7,Spring,6.5,coastal,Sunny
7250,13.0,67,10.5,66.0,overcast,990.65,3,Spring,2.0,coastal,Rainy
7251,21.0,60,15.5,72.0,partly cloudy,1014.27,0,Autumn,4.5,coastal,Rainy
7252,30.0,52,6.5,19.0,clear,1022.13,9,Summer,5.5,inland,Sunny
7253,31.0,79,18.0,88.0,overcast,1007.58,0,Autumn,4.5,coastal,Rainy
7254,13.0,88,8.0,70.0,overcast,994.47,1,Winter,2.5,inland,Rainy
7255,28.0,96,9.5,78.0,overcast,1017.57,3,Spring,3.0,mountain,Rainy
7260,36.0,70,0.5,70.0,clear,1025.87,2,Spring,2.0,inland,Sunny
7261,15.0,91,19.5,93.0,overcast,999.17,2,Spring,2.0,mountain,Rainy
7262,36.0,104,18.0,73.0,clear,1012.73,9,Summer,7.0,inland,Sunny
7266,30.0,92,9.0,52.0,overcast,1016.07,3,Autumn,4.0,inland,Rainy
7269,17.0,66,18.0,63.0,partly cloudy,992.22,1,Winter,2.5,inland,Rainy
7270,11.0,95,5.5,65.0,partly cloudy,997.77,2,Autumn,4.0,coastal,Rainy
7272,33.0,69,5.0,0.0,clear,1018.36,11,Winter,7.0,mountain,Sunny
7274,21.0,34,8.0,9.0,partly cloudy,1028.63,11,Summer,6.0,coastal,Sunny
7277,20.0,75,19.5,54.0,partly cloudy,1001.83,2,Summer,3.5,mountain,Rainy
7279,26.0,79,9.0,76.0,overcast,1019.71,4,Winter,1.5,mountain,Rainy
7280,18.0,71,12.5,66.0,partly cloudy,1015.11,0,Spring,4.0,inland,Rainy
7283,55.0,105,30.5,96.0,overcast,997.39,10,Spring,3.5,inland,Rainy
7284,33.0,67,19.5,65.0,overcast,995.78,2,Spring,4.0,coastal,Rainy
7285,32.0,28,1.5,14.0,clear,1019.18,5,Summer,6.5,mountain,Sunny
7286,31.0,57,1.5,89.0,partly cloudy,1008.97,2,Winter,13.0,coastal,Sunny
7287,-9.0,59,0.5,10.0,cloudy,800.83,4,Autumn,15.5,mountain,Sunny
7290,24.0,70,14.0,50.0,overcast,994.7,3,Autumn,3.0,inland,Rainy
7291,81.0,76,6.5,80.0,clear,1029.69,1,Summer,8.0,coastal,Sunny
7295,30.0,85,15.5,80.0,partly cloudy,1016.63,1,Summer,5.0,inland,Rainy
7296,23.0,85,18.5,91.0,overcast,992.84,3,Autumn,4.5,coastal,Rainy
7298,17.0,71,10.5,75.0,overcast,1012.6,0,Summer,2.0,mountain,Rainy
7300,23.0,24,1.0,5.0,clear,1020.31,8,Winter,9.5,mountain,Sunny
7303,88.0,93,6.5,108.0,partly cloudy,1014.75,1,Autumn,8.5,mountain,Sunny
7306,24.0,67,1.0,16.0,clear,1016.84,8,Winter,6.0,coastal,Sunny
7309,31.0,36,5.5,19.0,partly cloudy,1015.03,9,Autumn,8.5,mountain,Sunny
7312,20.0,78,1.5,59.0,partly cloudy,930.74,9,Winter,16.5,coastal,Rainy
7313,18.0,68,6.5,68.0,overcast,1003.8,3,Autumn,3.5,coastal,Rainy
7314,21.0,66,0.0,5.0,clear,1012.22,10,Spring,8.5,coastal,Sunny
7318,40.0,61,12.5,51.0,cloudy,893.93,10,Summer,9.0,coastal,Sunny
7320,22.0,69,8.5,8.0,partly cloudy,1027.53,8,Winter,7.0,coastal,Sunny
7322,22.0,42,3.5,11.0,clear,1023.98,7,Spring,7.0,coastal,Sunny
7325,60.0,96,16.5,86.0,clear,1015.03,10,Winter,11.0,coastal,Sunny
7327,20.0,64,4.0,8.0,partly cloudy,1016.38,11,Autumn,6.5,coastal,Sunny
7328,25.0,58,3.0,9.0,clear,1024.92,5,Summer,9.5,coastal,Sunny
7332,32.0,85,6.0,83.0,partly cloudy,996.38,0,Autumn,3.5,mountain,Rainy
7333,24.0,60,6.0,7.0,clear,1028.33,6,Summer,5.0,mountain,Sunny
7335,14.0,75,12.5,33.0,partly cloudy,834.55,4,Winter,10.5,inland,Sunny
7336,25.0,21,0.0,11.0,clear,1017.95,8,Autumn,6.5,coastal,Sunny
7337,27.0,40,5.5,7.0,clear,1025.16,11,Summer,6.0,coastal,Sunny
7338,29.0,48,8.5,2.0,clear,1010.31,8,Autumn,8.0,inland,Sunny
7340,25.0,31,0.5,11.0,partly cloudy,1023.32,5,Autumn,7.5,mountain,Sunny
7342,34.0,38,6.5,0.0,clear,1029.74,9,Autumn,6.5,mountain,Sunny
7343,14.0,85,14.5,50.0,partly cloudy,1012.6,2,Summer,5.0,inland,Rainy
7344,29.0,45,4.0,7.0,clear,1011.22,7,Summer,6.5,coastal,Sunny
7345,33.0,59,2.5,76.0,overcast,1060.62,10,Spring,18.0,mountain,Sunny
7348,35.0,49,3.0,6.0,partly cloudy,1015.29,5,Autumn,10.0,coastal,Sunny
7350,32.0,44,5.0,8.0,clear,1028.65,9,Autumn,5.5,inland,Sunny
7351,39.0,50,9.5,15.0,partly cloudy,1017.56,8,Spring,6.0,inland,Sunny
7352,16.0,95,11.5,82.0,overcast,996.01,1,Autumn,3.0,inland,Rainy
7357,35.0,63,8.0,3.0,clear,1029.83,10,Spring,5.0,mountain,Sunny
7358,42.0,57,7.0,19.0,partly cloudy,1015.62,10,Spring,9.0,inland,Sunny
7359,27.0,37,6.5,4.0,clear,1014.6,10,Winter,6.5,mountain,Sunny
7361,34.0,77,18.5,98.0,partly cloudy,1006.36,1,Winter,4.5,inland,Rainy
7362,25.0,109,16.5,89.0,clear,1024.87,9,Spring,10.5,coastal,Sunny
7366,36.0,54,5.0,7.0,partly cloudy,1022.82,7,Spring,10.0,mountain,Sunny
7368,10.0,75,6.5,90.0,partly cloudy,995.21,3,Spring,3.0,inland,Rainy
7369,20.0,75,14.5,82.0,partly cloudy,993.42,1,Autumn,4.0,inland,Rainy
7370,32.0,92,19.0,52.0,partly cloudy,1009.28,0,Summer,4.5,mountain,Rainy
7372,40.0,51,2.0,12.0,partly cloudy,1025.15,8,Spring,8.0,mountain,Sunny
7373,24.0,92,7.0,98.0,overcast,1009.65,2,Autumn,3.0,mountain,Rainy
7374,45.0,102,9.0,86.0,partly cloudy,1011.5,7,Spring,8.5,mountain,Sunny
7376,24.0,66,0.0,17.0,clear,1016.07,8,Autumn,8.5,coastal,Sunny
7379,47.0,20,14.5,67.0,cloudy,809.08,13,Summer,5.0,coastal,Sunny
7380,38.0,61,9.0,19.0,clear,1022.19,8,Autumn,6.5,coastal,Sunny
7383,18.0,89,6.5,92.0,overcast,1013.9,1,Winter,3.5,coastal,Rainy
7389,26.0,57,6.0,3.0,clear,1017.63,6,Spring,8.5,coastal,Sunny
7390,51.0,70,19.0,106.0,partly cloudy,1024.17,7,Spring,5.5,mountain,Sunny
7392,28.0,79,18.5,92.0,overcast,990.58,2,Autumn,1.5,inland,Rainy
7395,44.0,26,9.0,12.0,clear,1029.74,5,Winter,8.0,mountain,Sunny
7397,37.0,64,12.0,71.0,partly cloudy,1197.04,1,Winter,1.0,mountain,Rainy
7399,16.0,88,5.5,97.0,partly cloudy,1016.96,1,Autumn,3.0,mountain,Rainy
7401,28.0,77,15.0,50.0,overcast,1014.51,1,Summer,2.0,inland,Rainy
7402,9.0,71,6.5,71.0,partly cloudy,1194.98,7,Spring,18.5,inland,Sunny
7404,21.0,43,5.0,10.0,clear,1020.95,10,Winter,8.0,coastal,Sunny
7405,16.0,94,17.0,90.0,overcast,1010.41,0,Autumn,4.5,coastal,Rainy
7406,36.0,50,6.0,0.0,clear,1010.34,8,Autumn,6.5,mountain,Sunny
7409,53.0,75,6.5,104.0,clear,1014.2,1,Winter,5.5,mountain,Sunny
7410,44.0,50,4.5,12.0,clear,1011.45,9,Spring,9.0,mountain,Sunny
7411,37.0,62,7.5,19.0,clear,1010.28,7,Spring,9.0,coastal,Sunny
7412,41.0,48,0.5,19.0,clear,1029.0,10,Summer,8.0,coastal,Sunny
7415,31.0,24,7.0,19.0,partly cloudy,1019.73,8,Spring,5.0,mountain,Sunny
7416,26.0,26,5.0,99.0,cloudy,803.81,1,Spring,12.0,inland,Sunny
7420,65.0,76,7.5,85.0,partly cloudy,1018.49,1,Spring,8.5,coastal,Sunny
7423,36.0,26,7.5,11.0,clear,1029.54,8,Winter,6.5,mountain,Sunny
7427,55.0,99,1.5,85.0,clear,1023.05,2,Autumn,3.5,inland,Sunny
7428,19.0,92,15.5,92.0,overcast,994.48,7,Summer,5.0,coastal,Rainy
7431,15.0,96,6.0,70.0,overcast,1004.2,1,Summer,3.0,coastal,Rainy
7432,29.0,80,16.0,65.0,overcast,1000.21,0,Winter,1.5,mountain,Rainy
7435,15.0,77,8.5,60.0,partly cloudy,1006.96,1,Spring,1.5,inland,Rainy
7436,25.0,62,9.0,82.0,overcast,991.19,0,Summer,1.5,coastal,Rainy
7437,36.0,72,8.0,65.0,overcast,1056.96,7,Autumn,11.0,coastal,Rainy
7441,10.0,75,12.5,56.0,partly cloudy,1018.41,2,Winter,3.5,coastal,Rainy
7444,37.0,62,1.5,2.0,clear,1023.09,7,Autumn,8.0,coastal,Sunny
7449,20.0,47,10.0,12.0,clear,1022.14,8,Summer,9.0,coastal,Sunny
7450,-16.0,75,12.0,62.0,partly cloudy,984.82,1,Summer,14.5,coastal,Rainy
7455,11.0,65,9.5,90.0,overcast,994.47,1,Spring,3.5,inland,Rainy
7456,43.0,60,0.5,19.0,clear,1027.11,8,Autumn,9.0,inland,Sunny
7458,17.0,97,16.0,97.0,partly cloudy,1006.77,1,Winter,1.0,inland,Rainy
7459,39.0,36,6.5,7.0,clear,1017.49,7,Summer,6.5,mountain,Sunny
7460,35.0,66,6.5,1.0,clear,1020.63,5,Summer,6.5,inland,Sunny
7461,44.0,27,8.5,16.0,clear,1015.06,9,Autumn,5.5,inland,Sunny
7463,35.0,60,9.5,13.0,clear,1025.31,11,Summer,9.5,inland,Sunny
7466,30.0,46,9.0,1.0,clear,1020.91,11,Autumn,6.0,inland,Sunny
7468,14.0,86,10.5,93.0,overcast,998.2,2,Autumn,5.0,coastal,Rainy
7470,17.0,87,18.0,103.0,clear,1016.22,4,Winter,1.0,mountain,Sunny
7472,47.0,52,13.0,49.0,overcast,966.8,11,Summer,10.5,mountain,Sunny
7473,25.0,97,12.0,93.0,partly cloudy,1019.25,1,Spring,4.5,coastal,Rainy
7474,11.0,98,14.0,61.0,overcast,999.12,3,Winter,1.0,mountain,Rainy
7476,28.0,79,21.0,83.0,partly cloudy,990.08,12,Spring,1.5,coastal,Rainy
7478,26.0,89,8.0,83.0,partly cloudy,1010.52,8,Spring,11.5,mountain,Sunny
7480,42.0,35,6.0,19.0,clear,1010.85,11,Autumn,8.0,mountain,Sunny
7482,22.0,62,6.0,89.0,overcast,1008.3,3,Winter,1.5,coastal,Rainy
7487,29.0,23,2.0,14.0,partly cloudy,1010.04,5,Spring,9.0,inland,Sunny
7488,27.0,34,3.0,14.0,clear,1013.15,6,Winter,8.0,coastal,Sunny
7492,21.0,81,13.5,91.0,overcast,993.17,1,Autumn,2.5,mountain,Rainy
7497,-14.0,67,10.5,68.0,cloudy,827.05,7,Winter,9.5,mountain,Rainy
7498,36.0,68,2.5,14.0,clear,1014.81,10,Spring,9.5,coastal,Sunny
7499,41.0,31,9.0,8.0,clear,1021.85,7,Winter,9.0,mountain,Sunny
7500,47.0,60,5.0,20.0,partly cloudy,1189.47,8,Spring,9.5,mountain,Sunny
7501,34.0,91,7.5,78.0,overcast,1011.53,0,Autumn,4.0,coastal,Rainy
7504,21.0,95,33.0,109.0,overcast,1011.06,2,Winter,4.5,mountain,Rainy
7505,22.0,49,5.5,9.0,clear,1021.51,11,Winter,10.0,mountain,Sunny
7506,27.0,53,4.5,11.0,clear,1010.61,9,Autumn,8.0,mountain,Sunny
7507,32.0,83,13.0,104.0,partly cloudy,991.82,5,Spring,1.0,inland,Rainy
7508,19.0,71,13.0,73.0,overcast,998.55,2,Summer,1.0,inland,Rainy
7509,38.0,43,10.0,3.0,partly cloudy,1017.78,9,Spring,9.5,inland,Sunny
7511,40.0,22,7.5,16.0,partly cloudy,1011.5,10,Summer,8.5,inland,Sunny
7512,-4.0,26,11.0,87.0,cloudy,888.35,4,Summer,16.0,mountain,Sunny
7513,44.0,32,5.0,12.0,clear,1022.52,11,Summer,9.5,coastal,Sunny
7518,22.0,35,2.0,16.0,clear,1023.06,7,Spring,10.0,inland,Sunny
7520,21.0,95,7.5,91.0,partly cloudy,993.65,3,Autumn,3.5,inland,Rainy
7522,24.0,68,16.5,90.0,overcast,1019.45,1,Autumn,2.0,mountain,Rainy
7523,28.0,67,15.0,63.0,overcast,991.82,3,Summer,2.5,coastal,Rainy
7526,25.0,68,6.0,74.0,overcast,1011.74,1,Autumn,4.0,coastal,Rainy
7527,25.0,80,15.0,94.0,partly cloudy,1011.53,0,Winter,3.5,inland,Rainy
7530,60.0,92,11.5,75.0,clear,1020.28,12,Winter,7.0,mountain,Sunny
7531,24.0,22,2.5,9.0,partly cloudy,1025.18,10,Autumn,6.0,coastal,Sunny
7532,22.0,79,10.5,67.0,overcast,997.99,2,Spring,2.0,inland,Rainy
7535,28.0,46,1.0,0.0,clear,1024.22,11,Summer,5.5,mountain,Sunny
7537,40.0,23,8.0,19.0,clear,1015.43,6,Winter,7.0,mountain,Sunny
7542,19.0,87,13.5,87.0,clear,1014.94,13,Autumn,7.0,coastal,Sunny
7545,26.0,100,9.0,84.0,partly cloudy,1003.25,11,Spring,4.0,mountain,Rainy
7546,26.0,69,13.5,93.0,overcast,991.9,1,Autumn,3.0,inland,Rainy
7549,17.0,88,9.0,73.0,partly cloudy,1001.74,3,Summer,3.0,inland,Rainy
7552,22.0,95,8.0,50.0,overcast,991.82,3,Summer,2.5,inland,Rainy
7556,25.0,80,16.5,89.0,partly cloudy,1004.05,2,Spring,3.0,inland,Rainy
7562,12.0,95,9.5,94.0,partly cloudy,1000.03,1,Winter,2.5,inland,Rainy
7563,22.0,74,18.0,85.0,partly cloudy,1009.25,3,Winter,5.0,inland,Rainy
7564,17.0,91,28.5,81.0,overcast,1017.82,6,Autumn,1.0,mountain,Rainy
7570,31.0,65,15.0,96.0,overcast,1001.34,1,Spring,4.5,mountain,Rainy
7571,22.0,71,7.5,70.0,overcast,1006.26,3,Autumn,4.0,inland,Rainy
7572,25.0,71,12.5,86.0,overcast,999.78,4,Summer,3.0,mountain,Rainy
7576,11.0,80,11.0,94.0,overcast,992.32,0,Winter,2.5,coastal,Rainy
7577,31.0,64,12.5,56.0,overcast,1000.78,0,Winter,2.5,coastal,Rainy
7578,36.0,53,7.0,6.0,partly cloudy,1021.04,5,Summer,10.0,coastal,Sunny
7579,21.0,106,6.5,72.0,clear,1019.78,0,Summer,6.0,inland,Sunny
7580,26.0,87,19.0,85.0,partly cloudy,1004.21,0,Summer,1.5,coastal,Rainy
7581,28.0,67,3.0,11.0,partly cloudy,1028.93,7,Autumn,9.5,mountain,Sunny
7583,41.0,61,0.0,9.0,clear,1025.18,8,Spring,5.5,mountain,Sunny
7584,-1.0,21,5.5,42.0,overcast,858.33,10,Summer,1.0,coastal,Rainy
7585,24.0,34,3.0,9.0,clear,1015.01,10,Summer,6.5,mountain,Sunny
7591,22.0,77,16.0,84.0,partly cloudy,1010.79,3,Winter,2.0,coastal,Rainy
7593,25.0,65,0.0,16.0,clear,1019.39,5,Winter,9.0,coastal,Sunny
7594,29.0,41,1.0,18.0,clear,1021.9,7,Spring,6.0,mountain,Sunny
7595,10.0,97,12.5,88.0,overcast,1015.08,3,Autumn,3.5,coastal,Rainy
7598,40.0,41,6.0,5.0,clear,1018.67,11,Winter,9.0,mountain,Sunny
7599,54.0,71,19.5,70.0,overcast,1000.68,6,Autumn,5.5,inland,Rainy
7601,16.0,94,32.0,76.0,overcast,1018.69,0,Spring,1.5,inland,Rainy
7603,28.0,65,5.5,64.0,overcast,1004.68,0,Spring,4.0,mountain,Rainy
7605,29.0,38,6.0,2.0,clear,1011.18,8,Summer,9.0,coastal,Sunny
7606,27.0,33,10.0,7.0,clear,1020.29,10,Winter,6.5,mountain,Sunny
7607,21.0,62,13.5,94.0,overcast,1000.08,1,Spring,3.0,coastal,Rainy
7613,21.0,70,13.0,84.0,overcast,999.55,0,Summer,2.5,inland,Rainy
7614,38.0,22,5.5,10.0,clear,1021.59,9,Spring,8.5,inland,Sunny
7616,41.0,98,1.0,87.0,clear,1010.36,10,Spring,12.0,inland,Sunny
7620,31.0,84,20.0,70.0,overcast,1019.33,0,Spring,2.0,inland,Rainy
7622,36.0,23,2.0,1.0,clear,1026.53,11,Autumn,6.5,inland,Sunny
7625,43.0,38,7.5,19.0,clear,1011.58,9,Autumn,7.0,mountain,Sunny
7626,26.0,95,14.0,51.0,partly cloudy,997.06,1,Spring,3.5,coastal,Rainy
7630,29.0,36,2.5,11.0,clear,1024.91,9,Winter,5.5,inland,Sunny
7631,28.0,98,17.0,56.0,overcast,995.49,1,Winter,2.0,inland,Rainy
7633,34.0,62,9.0,95.0,partly cloudy,995.09,0,Winter,4.5,inland,Rainy
7636,28.0,22,2.5,9.0,clear,1026.95,11,Autumn,9.5,coastal,Sunny
7638,33.0,80,9.0,80.0,overcast,1003.76,1,Autumn,3.5,mountain,Rainy
7641,30.0,64,2.5,6.0,partly cloudy,1028.58,11,Autumn,8.5,mountain,Sunny
7642,25.0,42,3.5,5.0,clear,1019.29,5,Summer,6.0,mountain,Sunny
7643,31.0,81,9.5,75.0,overcast,999.13,2,Summer,2.0,inland,Rainy
7644,29.0,39,4.5,18.0,clear,1019.54,7,Spring,8.5,coastal,Sunny
7645,35.0,23,0.5,16.0,partly cloudy,1017.72,11,Winter,9.0,coastal,Sunny
